provider_id,total_claims,unique_patients,avg_allowed,avg_paid,total_paid,readmission_rate,er_visit_rate,preventive_rate,cost_per_member,specialty,region,network_tier,accepts_value_based,avg_allowed_bench,cost_per_member_bench,readmission_rate_bench,er_visit_rate_bench,cost_score,utilization_score,er_score,hedis_composite_score,patient_satisfaction,care_coordination_score,quality_score,satisfaction_score,coordination_score,composite_score,value_tier
PROV0015,577,549,3380.6843674176775,2792.7685788561525,1611427.47,0.12131715771230503,0.17504332755632582,0.3292894280762565,2935.204863387978,Orthopedics,Northeast,2,1,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,52.6,0.0,3.1,0.702,0.581,0.649,70.2,58.1,64.9,48.5,Low Value
PROV0016,620,584,3134.4687903225804,2568.5928548387096,1592527.57,0.12096774193548387,0.1774193548387097,0.3467741935483871,2726.9307705479455,Cardiology,Southwest,2,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,59.2,0.0,3.5,0.795,0.73,0.85,79.5,73.0,85.0,57.1,Moderate Value
PROV0017,628,593,3246.5902707006367,2698.308057324841,1694537.46,0.12261146496815287,0.1910828025477707,0.3248407643312102,2857.5673861720065,Orthopedics,Midwest,2,0,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,56.4,0.0,0.0,0.775,0.648,0.79,77.5,64.8,79.0,53.9,Moderate Value
PROV0018,624,579,3459.4070032051286,2814.139871794872,1756023.28,0.10737179487179487,0.21314102564102563,0.3541666666666667,3032.8554058721934,Cardiology,Southeast,2,0,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,49.7,11.0,0.0,0.893,0.863,0.929,89.3,86.3,92.9,61.7,Moderate Value
PROV0019,603,553,2864.640464344942,2349.533864013267,1416768.92,0.11442786069651742,0.1791044776119403,0.35323383084577115,2561.9691139240504,Orthopedics,Northeast,1,1,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,67.4,3.4,0.9,0.919,0.813,0.963,91.9,81.3,96.3,65.7,Moderate Value
PROV0020,639,593,3551.9846791862283,2938.80289514867,1877895.05,0.12050078247261346,0.1705790297339593,0.3427230046948357,3166.770741989882,Primary Care,Southwest,2,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,51.3,0.0,5.8,0.74,0.77,0.764,74.0,77.0,76.4,53.1,Moderate Value
PROV0021,633,600,4147.782827804107,3420.7366192733016,2165326.28,0.10900473933649289,0.17535545023696683,0.37756714060031593,3608.877133333333,Primary Care,Midwest,3,0,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,34.8,7.5,3.2,0.536,0.576,0.522,53.6,57.6,52.2,39.2,Low Value
PROV0022,623,599,3948.732937399679,3283.6152808988763,2045692.32,0.11556982343499198,0.18138041733547353,0.3402889245585875,3415.179165275459,Orthopedics,West,3,1,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,36.2,2.5,0.0,0.671,0.635,0.673,67.1,63.5,67.3,44.4,Low Value
PROV0023,626,583,2824.184376996805,2344.6364217252394,1467742.4,0.11022364217252396,0.1853035143769968,0.3610223642172524,2517.5684391080617,Orthopedics,Northeast,1,1,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,68.6,7.0,0.0,0.85,0.801,0.951,85.0,80.1,95.1,64.8,Moderate Value
PROV0024,626,587,3135.588019169329,2576.203961661342,1612703.68,0.12300319488817892,0.1869009584664537,0.3402555910543131,2747.365724020443,General Surgery,Southwest,2,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,55.7,0.0,0.0,0.673,0.695,0.678,67.3,69.5,67.8,50.7,Moderate Value
PROV0025,604,557,3475.6288410596026,2850.1458609271526,1721488.1,0.11754966887417219,0.15562913907284767,0.34105960264900664,3090.642908438061,Neurology,Northeast,2,0,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,55.0,0.0,14.4,0.886,0.883,0.968,88.6,88.3,96.8,61.6,Moderate Value
PROV0026,629,599,2714.0111446740857,2251.710317965024,1416325.79,0.11446740858505565,0.1891891891891892,0.302066772655008,2364.483789649416,Oncology,Northeast,1,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,67.0,3.6,0.0,0.798,0.823,0.841,79.8,82.3,84.1,61.5,Moderate Value
PROV0027,649,616,3365.7467488443763,2784.984622496148,1807455.02,0.13713405238828968,0.14946070878274267,0.325115562403698,2934.1802272727273,Neurology,Midwest,2,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,58.0,0.0,17.8,0.762,0.732,0.771,76.2,73.2,77.1,55.1,Moderate Value
PROV0028,643,609,2549.5428304821153,2096.0225505443236,1347742.5,0.1166407465007776,0.17262830482115085,0.3188180404354588,2213.041871921182,General Surgery,West,1,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,73.3,3.3,2.9,0.94,0.769,0.908,94.0,76.9,90.8,66.8,Moderate Value
PROV0029,611,569,4646.576055646481,3844.139656301146,2348769.33,0.12929623567921442,0.19312602291325695,0.35842880523731585,4127.88985940246,Orthopedics,West,3,0,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,16.1,0.0,0.0,0.703,0.625,0.64,70.3,62.5,64.0,38.2,Low Value
PROV0030,607,574,4372.784085667216,3645.196672158155,2212634.38,0.12685337726523888,0.17957166392092258,0.32948929159802304,3854.763728222996,Cardiology,Northeast,3,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,23.3,0.0,2.4,0.692,0.658,0.644,69.2,65.8,64.4,40.6,Low Value
PROV0031,604,566,2488.8211754966887,2042.6740894039733,1233775.15,0.11754966887417219,0.19039735099337748,0.34602649006622516,2179.8147526501766,Primary Care,Southeast,1,0,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,80.9,0.3,0.0,0.889,0.851,0.928,88.9,85.1,92.8,68.6,Moderate Value
PROV0032,630,571,3518.123888888889,2909.655238095238,1833082.8,0.13174603174603175,0.1634920634920635,0.31587301587301586,3210.3026269702277,Orthopedics,Northeast,3,1,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,48.6,0.0,9.5,0.612,0.55,0.743,61.2,55.0,74.3,45.6,Low Value
PROV0033,615,585,3834.011349593496,3173.0621951219514,1951433.25,0.10894308943089431,0.17398373983739837,0.37073170731707317,3335.7833333333333,Cardiology,Northeast,3,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,38.9,9.7,5.4,0.568,0.56,0.583,56.8,56.0,58.3,42.0,Low Value
PROV0034,629,595,3489.7737837837835,2865.6533386327505,1802495.95,0.1192368839427663,0.18441971383147854,0.35294117647058826,3029.404957983193,Oncology,Midwest,2,0,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,43.3,0.0,0.0,0.752,0.792,0.806,75.2,79.2,80.6,51.7,Moderate Value
PROV0035,672,629,4525.578601190476,3736.442306547619,2510889.23,0.12202380952380952,0.17559523809523808,0.3556547619047619,3991.874769475358,Oncology,Midwest,3,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,11.7,0.0,3.3,0.711,0.64,0.714,71.1,64.0,71.4,38.0,Low Value
PROV0036,632,595,3553.6394462025314,2916.2662974683544,1843080.3,0.13132911392405064,0.18354430379746836,0.3227848101265823,3097.613949579832,Cardiology,Midwest,2,0,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,47.0,0.0,0.2,0.69,0.626,0.748,69.0,62.6,74.8,48.2,Low Value
PROV0037,633,589,2999.4580410742496,2491.172922590837,1576912.46,0.0947867298578199,0.1911532385466035,0.353870458135861,2677.2707300509337,Orthopedics,Southeast,2,0,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,63.5,20.0,0.0,0.778,0.825,0.854,77.8,82.5,85.4,63.4,Moderate Value
PROV0038,624,580,3298.6064903846154,2698.095641025641,1683611.68,0.1346153846153846,0.17467948717948717,0.36538461538461536,2902.7787586206896,General Surgery,Midwest,2,0,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,50.8,0.0,1.8,0.678,0.592,0.669,67.8,59.2,66.9,47.8,Low Value
PROV0039,640,612,3394.4620937500003,2805.656578125,1795620.21,0.13125,0.15,0.3671875,2934.019950980392,General Surgery,Northeast,2,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,47.9,0.0,15.6,0.751,0.659,0.781,75.1,65.9,78.1,50.8,Moderate Value
PROV0040,651,601,3451.3255453149004,2836.968648233487,1846866.59,0.10445468509984639,0.1858678955453149,0.35944700460829493,3072.989334442596,Neurology,Southeast,2,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,55.7,9.9,0.0,0.977,0.943,0.974,97.7,94.3,97.4,67.0,Moderate Value
PROV0041,622,589,2730.960305466238,2269.703344051447,1411755.48,0.1157556270096463,0.19131832797427653,0.3520900321543408,2396.8683870967743,Neurology,Southeast,1,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,75.4,0.2,0.0,0.848,0.777,0.953,84.8,77.7,95.3,65.0,Moderate Value
PROV0042,682,619,3479.529765395894,2896.748431085044,1975582.43,0.10263929618768329,0.17008797653958943,0.3651026392961877,3191.570969305331,Cardiology,Southwest,2,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,49.2,14.9,7.5,0.772,0.649,0.78,77.2,64.9,78.0,54.6,Moderate Value
PROV0043,601,573,3220.618569051581,2668.473693843594,1603752.69,0.10815307820299501,0.16971713810316139,0.3560732113144759,2798.8703141361257,Oncology,Midwest,2,0,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,51.6,8.9,6.5,0.608,0.657,0.631,60.8,65.7,63.1,48.6,Low Value
PROV0044,658,618,4963.800547112462,4105.447705167173,2701384.59,0.12613981762917933,0.182370820668693,0.3662613981762918,4371.172475728155,General Surgery,West,3,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,0.7,0.0,0.0,0.546,0.628,0.625,54.6,62.8,62.5,29.5,Low Value
PROV0045,628,591,4209.674267515924,3499.8995222929934,2197936.9,0.12579617834394904,0.1464968152866242,0.339171974522293,3719.0133671742806,Cardiology,Midwest,3,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,28.0,0.0,20.4,0.573,0.471,0.597,57.3,47.1,59.7,35.8,Low Value
PROV0046,575,541,3183.4561739130436,2612.267304347826,1502053.7,0.11826086956521739,0.1582608695652174,0.3373913043478261,2776.4393715341957,Primary Care,Southeast,2,0,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,61.6,0.0,12.6,0.867,0.741,0.85,86.7,74.1,85.0,59.8,Moderate Value
PROV0047,625,592,3593.558304,2986.8253440000003,1866765.84,0.1376,0.1696,0.3264,3153.320675675676,Primary Care,Midwest,2,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,50.2,0.0,6.4,0.815,0.709,0.912,81.5,70.9,91.2,55.2,Moderate Value
PROV0048,613,580,3713.1108972267534,3057.7173735725937,1874380.75,0.10603588907014681,0.18433931484502447,0.3556280587275693,3231.690948275862,Oncology,Midwest,2,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,36.5,10.7,0.0,0.86,0.819,0.812,86.0,81.9,81.2,55.0,Moderate Value
PROV0049,591,555,4559.213942470389,3754.4221827411166,2218863.51,0.15397631133671744,0.15905245346869712,0.4010152284263959,3997.9522702702698,Primary Care,Southeast,3,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,23.4,0.0,12.2,0.601,0.526,0.635,60.1,52.6,63.5,36.3,Low Value
PROV0050,649,612,3266.3758859784284,2709.9157935285057,1758735.35,0.09244992295839753,0.19106317411402157,0.3359013867488444,2873.750571895425,Neurology,Midwest,2,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,60.8,20.3,0.0,0.648,0.608,0.654,64.8,60.8,65.4,54.2,Moderate Value
PROV0051,633,597,3307.8542180094787,2723.780268562401,1724152.91,0.1263823064770932,0.1990521327014218,0.3744075829383886,2888.028324958124,Cardiology,Southwest,2,0,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,54.1,0.0,0.0,0.794,0.79,0.802,79.4,79.0,80.2,56.0,Moderate Value
PROV0052,624,585,4070.633894230769,3345.886858974359,2087833.4,0.125,0.1842948717948718,0.33814102564102566,3568.945982905983,Oncology,Southwest,3,0,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,25.6,0.0,0.0,0.62,0.69,0.645,62.0,69.0,64.5,40.0,Low Value
PROV0053,641,606,3972.0038533541347,3278.0695163806554,2101242.56,0.11856474258970359,0.1684867394695788,0.3416536661466459,3467.3969636963698,Cardiology,Midwest,3,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,34.9,1.7,8.4,0.594,0.604,0.602,59.4,60.4,60.2,40.7,Low Value
PROV0054,650,599,2704.501230769231,2217.7782,1441555.83,0.12615384615384614,0.19384615384615383,0.35384615384615387,2406.604056761269,Cardiology,Southeast,1,0,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,71.6,0.0,0.0,0.803,0.726,0.973,80.3,72.6,97.3,62.2,Moderate Value
PROV0055,604,574,3455.128394039735,2875.8441887417216,1737009.89,0.1390728476821192,0.16887417218543047,0.3526490066225166,3026.149634146341,General Surgery,West,2,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,46.1,0.0,5.0,0.88,0.874,0.955,88.0,87.4,95.5,58.5,Moderate Value
PROV0056,638,598,3222.695219435737,2643.6524764890282,1686650.28,0.13479623824451412,0.19278996865203762,0.3683385579937304,2820.4854180602006,Neurology,Midwest,2,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,62.0,0.0,0.0,0.872,0.865,0.958,87.2,86.5,95.8,63.0,Moderate Value
PROV0057,608,576,2503.8388486842105,2074.1819243421055,1261102.61,0.1069078947368421,0.17269736842105263,0.3667763157894737,2189.4142534722223,General Surgery,West,1,0,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,74.7,11.4,2.9,0.814,0.679,0.791,81.4,67.9,79.1,63.1,Moderate Value
PROV0058,593,569,3202.6566779089376,2647.5555311973017,1570000.43,0.13322091062394603,0.1703204047217538,0.342327150084317,2759.227469244288,Oncology,West,2,0,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,52.1,0.0,6.2,0.756,0.63,0.753,75.6,63.0,75.3,51.5,Moderate Value
PROV0059,629,597,3369.116788553259,2806.4496343402225,1765256.82,0.11128775834658187,0.17647058823529413,0.35294117647058826,2956.879095477387,Oncology,Midwest,2,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,47.0,6.3,2.8,0.837,0.817,0.787,83.7,81.7,78.7,56.4,Moderate Value
PROV0060,652,617,3481.2010276073615,2855.5873619631902,1861842.96,0.1303680981595092,0.17331288343558282,0.3588957055214724,3017.5736790923825,Cardiology,Southeast,2,1,3450.6783702397765,3028.1521673011594,0.12064089873745697,0.1839299023683813,49.1,0.0,5.8,0.704,0.714,0.815,70.4,71.4,81.5,51.2,Moderate Value
PROV0061,584,539,3939.0277910958903,3248.252140410959,1896979.25,0.0976027397260274,0.19006849315068494,0.3321917808219178,3519.442022263451,Neurology,Southwest,3,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,42.4,15.8,0.0,0.674,0.564,0.711,67.4,56.4,71.1,48.3,Low Value
PROV0062,619,575,3746.021518578352,3100.762197092084,1919371.8,0.10339256865912763,0.2035541195476575,0.3667205169628433,3338.0379130434785,Primary Care,Northeast,2,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,45.9,12.3,0.0,0.692,0.743,0.799,69.2,74.3,79.9,52.7,Moderate Value
PROV0063,687,632,3125.1321106259093,2559.8568704512372,1758621.67,0.10771470160116449,0.18631732168850074,0.3537117903930131,2782.629224683544,Primary Care,Southeast,2,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,63.2,8.6,0.0,0.771,0.659,0.745,77.1,65.9,74.5,57.3,Moderate Value
PROV0064,653,604,3775.246294027565,3079.633062787136,2011000.39,0.12098009188361408,0.18683001531393567,0.35068912710566613,3329.470844370861,General Surgery,Southeast,2,0,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,36.4,0.0,0.0,0.766,0.666,0.827,76.6,66.6,82.7,48.3,Low Value
PROV0065,602,569,3045.9279900332226,2486.9320099667775,1497133.07,0.11295681063122924,0.1511627906976744,0.3754152823920266,2631.1653251318103,General Surgery,Southwest,2,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,58.4,6.4,15.0,0.723,0.655,0.744,72.3,65.5,74.4,54.1,Moderate Value
PROV0066,613,577,4133.516133768353,3397.3008972267535,2082545.45,0.10603588907014681,0.18760195758564438,0.3703099510603589,3609.264211438475,Neurology,Northeast,3,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,37.1,8.6,0.0,0.628,0.622,0.718,62.8,62.2,71.8,45.1,Low Value
PROV0067,638,603,2452.1894670846395,2045.897288401254,1305282.47,0.10658307210031348,0.16614420062695925,0.3605015673981191,2164.6475456053067,Oncology,Southwest,1,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,75.1,10.2,8.5,0.916,0.854,0.99,91.6,85.4,99.0,70.2,High Value
PROV0068,647,604,4955.933013910356,4156.243508500773,2689089.55,0.1143740340030912,0.1731066460587326,0.33384853168469864,4452.135016556291,Neurology,Southwest,3,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,14.6,1.4,4.7,0.659,0.587,0.651,65.9,58.7,65.1,36.4,Low Value
PROV0069,600,566,4461.6806166666665,3645.499666666666,2187299.8,0.12833333333333333,0.17666666666666667,0.35333333333333333,3864.4872791519433,Neurology,Midwest,3,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,28.1,0.0,2.8,0.605,0.616,0.655,60.5,61.6,65.5,39.3,Low Value
PROV0070,635,601,3946.4061889763784,3243.816031496063,2059823.18,0.14330708661417324,0.1968503937007874,0.33228346456692914,3427.3264226289516,Neurology,Northeast,2,0,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,42.2,0.0,0.0,0.821,0.864,0.804,82.1,86.4,80.4,54.2,Moderate Value
PROV0071,621,588,4146.658985507246,3415.232657004831,2120859.48,0.10466988727858294,0.1706924315619968,0.37359098228663445,3606.9038775510203,General Surgery,Northeast,3,0,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,25.3,13.2,4.0,0.603,0.587,0.625,60.3,58.7,62.5,40.4,Low Value
PROV0072,642,606,2910.80492211838,2408.461199376947,1546232.09,0.11214953271028037,0.19314641744548286,0.35514018691588783,2551.5381023102314,General Surgery,West,2,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,62.4,7.0,0.0,0.72,0.707,0.751,72.0,70.7,75.1,56.2,Moderate Value
PROV0073,617,579,3794.6412965964346,3117.8899027552675,1923738.07,0.12641815235008103,0.16693679092382496,0.3500810372771475,3322.5182556131263,Orthopedics,Midwest,2,1,3469.2924110073104,3069.4967155449226,0.11848856651307092,0.18073585058936179,40.6,0.0,7.6,0.71,0.7,0.851,71.0,70.0,85.1,48.9,Low Value
PROV0074,629,580,3351.6037201907793,2765.3161526232116,1739383.86,0.11128775834658187,0.22575516693163752,0.37201907790143085,2998.9376896551726,Primary Care,Midwest,2,1,3600.0565553206757,3179.238580588948,0.11786603098337428,0.18114632356905983,56.9,5.6,0.0,0.803,0.793,0.886,80.3,79.3,88.6,59.0,Moderate Value
PROV0075,633,591,3627.2682622432862,3015.9084992101107,1909070.08,0.12006319115323855,0.18009478672985782,0.296998420221169,3230.237021996616,Oncology,Southeast,2,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,39.1,0.0,0.8,0.677,0.55,0.72,67.7,55.0,72.0,44.1,Low Value
PROV0076,610,576,3389.2804098360657,2806.397475409836,1711902.46,0.1180327868852459,0.18524590163934426,0.33278688524590166,2972.0528819444444,Oncology,Northeast,2,1,3271.811905882366,2862.034811555533,0.11870871443505193,0.18156815630475445,46.4,0.6,0.0,0.804,0.726,0.879,80.4,72.6,87.9,53.8,Moderate Value
PROV0077,621,571,2673.655458937198,2211.117117552335,1373103.73,0.11272141706924316,0.19484702093397746,0.3961352657004831,2404.7350788091067,General Surgery,Midwest,1,1,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,69.6,6.6,0.0,0.873,0.882,0.858,87.3,88.2,85.8,65.8,Moderate Value
PROV0078,622,590,3293.189421221865,2701.9201768488747,1680594.35,0.12057877813504823,0.18006430868167203,0.3617363344051447,2848.465,Neurology,Southeast,1,0,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,60.0,0.0,0.9,0.908,0.874,0.976,90.8,87.4,97.6,63.6,Moderate Value
PROV0079,642,605,3610.7934735202493,2984.148956386293,1915823.63,0.10747663551401869,0.19314641744548286,0.3442367601246106,3166.6506280991734,Neurology,Northeast,2,1,3660.232703390457,3218.502474046171,0.11596625862404224,0.1817311502942768,51.4,7.3,0.0,0.686,0.745,0.721,68.6,74.5,72.1,52.4,Moderate Value
PROV0080,620,580,4154.34535483871,3441.8277258064513,2133933.19,0.12419354838709677,0.1935483870967742,0.33225806451612905,3679.1951551724137,General Surgery,Midwest,3,0,3324.599622295972,2920.8058239377624,0.12062394997282286,0.1777994565169072,25.0,0.0,0.0,0.631,0.58,0.701,63.1,58.0,70.1,39.0,Low Value
