provider_id,total_claims,readmission_rate,er_visit_rate,preventive_care_rate,avg_allowed_amount,avg_paid_amount,total_paid_amount,avg_los_days,hedis_composite_score,patient_satisfaction,care_coordination_score,generic_rx_rate
PROV0045,628,0.1258,0.1465,0.3392,4209.67,3499.9,2197936.9,0.957,0.573,0.471,0.597,0.936
PROV0046,575,0.1183,0.1583,0.3374,3183.46,2612.27,1502053.7,0.896,0.867,0.741,0.85,0.864
PROV0047,625,0.1376,0.1696,0.3264,3593.56,2986.83,1866765.84,1.002,0.815,0.709,0.912,0.877
PROV0048,613,0.106,0.1843,0.3556,3713.11,3057.72,1874380.75,0.967,0.86,0.819,0.812,0.834
PROV0049,591,0.154,0.1591,0.401,4559.21,3754.42,2218863.51,0.941,0.601,0.526,0.635,0.841
PROV0050,649,0.0924,0.1911,0.3359,3266.38,2709.92,1758735.35,0.988,0.648,0.608,0.654,0.812
PROV0051,633,0.1264,0.1991,0.3744,3307.85,2723.78,1724152.91,0.877,0.794,0.79,0.802,0.635
PROV0052,624,0.125,0.1843,0.3381,4070.63,3345.89,2087833.4,0.947,0.62,0.69,0.645,0.869
PROV0053,641,0.1186,0.1685,0.3417,3972.0,3278.07,2101242.56,0.913,0.594,0.604,0.602,0.766
PROV0054,650,0.1262,0.1938,0.3538,2704.5,2217.78,1441555.83,0.991,0.803,0.726,0.973,0.601
PROV0055,604,0.1391,0.1689,0.3526,3455.13,2875.84,1737009.89,0.965,0.88,0.874,0.955,0.831
PROV0056,638,0.1348,0.1928,0.3683,3222.7,2643.65,1686650.28,0.975,0.872,0.865,0.958,0.643
PROV0057,608,0.1069,0.1727,0.3668,2503.84,2074.18,1261102.61,1.043,0.814,0.679,0.791,0.639
PROV0058,593,0.1332,0.1703,0.3423,3202.66,2647.56,1570000.43,0.916,0.756,0.63,0.753,0.653
PROV0059,629,0.1113,0.1765,0.3529,3369.12,2806.45,1765256.82,1.037,0.837,0.817,0.787,0.648
PROV0060,652,0.1304,0.1733,0.3589,3481.2,2855.59,1861842.96,0.98,0.704,0.714,0.815,0.591
PROV0061,584,0.0976,0.1901,0.3322,3939.03,3248.25,1896979.25,0.981,0.674,0.564,0.711,0.83
PROV0062,619,0.1034,0.2036,0.3667,3746.02,3100.76,1919371.8,0.94,0.692,0.743,0.799,0.563
PROV0063,687,0.1077,0.1863,0.3537,3125.13,2559.86,1758621.67,0.958,0.771,0.659,0.745,0.612
PROV0064,653,0.121,0.1868,0.3507,3775.25,3079.63,2011000.39,0.919,0.766,0.666,0.827,0.613
PROV0065,602,0.113,0.1512,0.3754,3045.93,2486.93,1497133.07,0.895,0.723,0.655,0.744,0.886
PROV0066,613,0.106,0.1876,0.3703,4133.52,3397.3,2082545.45,0.966,0.628,0.622,0.718,0.756
PROV0067,638,0.1066,0.1661,0.3605,2452.19,2045.9,1305282.47,1.083,0.916,0.854,0.99,0.946
PROV0068,647,0.1144,0.1731,0.3338,4955.93,4156.24,2689089.55,0.901,0.659,0.587,0.651,0.856
PROV0069,600,0.1283,0.1767,0.3533,4461.68,3645.5,2187299.8,0.952,0.605,0.616,0.655,0.866
PROV0070,635,0.1433,0.1969,0.3323,3946.41,3243.82,2059823.18,1.052,0.821,0.864,0.804,0.757
PROV0071,621,0.1047,0.1707,0.3736,4146.66,3415.23,2120859.48,0.874,0.603,0.587,0.625,0.684
PROV0072,642,0.1121,0.1931,0.3551,2910.8,2408.46,1546232.09,0.864,0.72,0.707,0.751,0.819
PROV0073,617,0.1264,0.1669,0.3501,3794.64,3117.89,1923738.07,0.927,0.71,0.7,0.851,0.876
PROV0074,629,0.1113,0.2258,0.372,3351.6,2765.32,1739383.86,0.951,0.803,0.793,0.886,0.754
PROV0075,633,0.1201,0.1801,0.297,3627.27,3015.91,1909070.08,0.961,0.677,0.55,0.72,0.649
PROV0076,610,0.118,0.1852,0.3328,3389.28,2806.4,1711902.46,1.021,0.804,0.726,0.879,0.907
PROV0077,621,0.1127,0.1948,0.3961,2673.66,2211.12,1373103.73,0.955,0.873,0.882,0.858,0.897
PROV0078,622,0.1206,0.1801,0.3617,3293.19,2701.92,1680594.35,0.844,0.908,0.874,0.976,0.909
PROV0079,642,0.1075,0.1931,0.3442,3610.79,2984.15,1915823.63,0.921,0.686,0.745,0.721,0.878
PROV0080,620,0.1242,0.1935,0.3323,4154.35,3441.83,2133933.19,0.929,0.631,0.58,0.701,0.691
